ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
8381,25,3,2023,51,L,107,12,7,20000
6919,15,5,2024,21,P,956,19,9,10000
5578,25,2,2024,45,L,12,19,14,30000
9069,25,12,2022,51,P,820,1,1,40000
5746,31,12,2022,64,P,855,19,11,10000
9346,5,5,2024,44,P,539,17,8,30000
492,25,1,2022,48,P,184,11,5,20000
2765,7,2,2024,60,L,849,13,9,20000
8578,1,11,2022,54,P,993,4,11,10000
1911,15,11,2022,34,L,120,13,8,40000
280,3,12,2022,40,P,990,15,14,40000
6498,28,8,2023,29,L,397,1,5,50000
4178,1,5,2023,49,P,220,2,7,20000
100,2,4,2024,46,L,971,17,8,20000
4452,6,5,2023,27,P,854,3,14,30000
3736,10,9,2024,64,P,609,12,10,50000
6223,16,1,2022,48,P,262,4,3,10000
9913,17,9,2023,37,P,362,13,5,20000
7024,26,9,2024,69,P,149,10,7,50000
5183,4,2,2022,49,L,757,18,1,20000
5130,3,5,2024,69,L,904,3,11,50000
6361,31,6,2024,33,P,288,14,13,30000
9168,31,11,2024,26,P,737,10,8,40000
4469,28,4,2022,75,L,337,17,6,40000
5045,10,8,2022,35,L,507,8,8,30000
5918,4,3,2024,78,P,69,19,4,10000
6972,5,11,2022,64,P,858,6,12,20000
4169,19,4,2023,46,L,240,17,6,40000
2135,13,7,2022,63,P,214,1,11,40000
8372,26,6,2024,59,P,215,1,5,50000
4832,1,10,2023,41,L,300,16,7,40000
5249,31,12,2023,23,L,681,19,11,50000
2897,20,9,2023,28,L,639,14,10,10000
3475,27,4,2023,74,P,822,15,5,50000
9343,24,8,2024,44,P,628,15,6,50000
4603,7,2,2023,33,P,282,16,11,40000
1452,27,12,2023,33,P,8,20,14,20000
839,15,3,2024,46,P,235,14,8,20000
9106,28,1,2024,24,P,671,20,12,40000
3126,8,2,2024,49,L,880,4,9,50000
2714,4,3,2022,39,L,447,18,14,50000
7425,3,3,2022,56,P,807,6,4,20000
4034,28,12,2024,59,P,104,16,2,20000
8177,23,2,2022,58,L,267,12,3,30000
5984,5,9,2022,51,P,352,15,6,10000
2322,1,5,2024,45,L,608,20,14,50000
1521,2,4,2023,45,P,816,4,9,30000
4235,20,2,2024,51,P,276,6,9,20000
9213,16,11,2024,75,L,83,14,5,50000
2950,15,1,2023,50,L,836,15,3,10000
9408,20,5,2022,70,L,104,14,8,30000
444,2,2,2024,48,L,520,6,14,20000
6199,7,2,2024,61,P,976,7,7,20000
9398,2,9,2022,48,L,587,16,10,50000
303,9,11,2024,37,P,805,6,7,50000
2126,6,1,2024,23,L,989,13,2,10000
7419,4,8,2024,43,P,124,11,4,20000
3590,21,4,2024,49,L,849,1,6,30000
1940,21,3,2022,78,L,300,2,7,50000
2947,6,12,2024,46,L,452,13,12,10000
8559,7,9,2024,52,L,898,13,2,10000
3999,10,10,2023,35,L,398,13,12,10000
5147,4,7,2024,74,L,173,16,3,50000
6548,5,12,2022,69,L,511,19,1,10000
2098,24,6,2022,77,L,808,17,1,20000
9701,18,5,2024,56,L,904,19,13,50000
4930,29,2,2022,51,L,501,8,12,50000
8521,16,5,2024,41,P,724,19,1,20000
7277,25,10,2024,60,L,264,5,13,30000
9419,10,6,2024,54,P,802,12,8,10000
1693,28,12,2022,53,P,354,11,3,20000
5264,1,3,2022,47,L,293,7,12,30000
3983,29,2,2023,61,P,938,1,10,40000
6325,3,8,2024,60,P,106,2,12,10000
2758,28,5,2022,48,P,637,6,2,40000
7179,30,12,2022,66,P,880,8,3,50000
5050,2,4,2022,57,P,934,17,12,10000
1531,31,7,2022,52,L,226,16,9,50000
738,6,8,2022,77,L,493,1,5,20000
3541,5,9,2022,21,P,813,1,14,40000
8020,30,3,2022,72,L,788,7,13,40000
903,22,7,2022,45,P,26,14,4,10000
8549,6,5,2024,54,P,966,10,11,10000
6960,30,5,2022,36,P,156,16,8,20000
164,1,2,2023,56,L,768,13,7,40000
2665,9,6,2022,52,L,458,5,3,20000
462,20,1,2023,36,L,35,15,6,30000
2669,26,4,2024,66,P,221,20,5,10000
2504,8,7,2022,29,P,936,13,7,40000
3792,26,11,2022,52,P,846,13,12,50000
3127,15,11,2023,72,P,545,17,7,10000
6533,10,3,2024,51,L,677,11,11,10000
5297,21,3,2023,32,P,19,14,5,30000
3698,2,9,2022,51,L,881,20,6,50000
3226,10,10,2024,66,L,982,6,13,40000
4463,14,4,2022,50,L,502,13,12,40000
1880,26,9,2023,60,P,941,14,1,20000
3776,6,7,2022,23,P,918,12,11,50000
6190,21,6,2023,23,P,719,12,9,20000
5900,13,7,2024,22,P,680,6,11,30000
5604,23,5,2024,29,P,389,10,14,30000
5814,12,2,2023,32,P,363,2,3,50000
140,26,2,2023,35,L,115,5,6,50000
2978,31,7,2024,46,L,43,3,8,30000
6401,15,9,2022,40,L,421,18,1,40000
2303,19,1,2022,39,L,554,17,4,50000
2873,23,12,2022,33,P,483,9,2,50000
8075,19,10,2023,28,P,687,11,4,20000
915,8,5,2023,60,L,979,13,7,40000
2556,14,10,2024,31,L,21,18,13,40000
9442,1,5,2024,79,P,188,13,11,40000
3655,25,5,2022,31,L,682,18,5,10000
6497,13,10,2022,25,L,451,14,6,50000
6199,9,1,2024,69,L,162,12,14,20000
492,21,11,2023,80,L,966,7,10,20000
1645,26,7,2023,23,P,458,13,14,30000
7753,17,10,2023,42,L,634,3,11,30000
4370,12,10,2024,26,P,442,6,8,20000
4256,30,5,2024,70,P,848,14,13,30000
8588,30,6,2022,59,L,185,12,8,10000
4412,8,8,2024,49,L,139,16,2,30000
366,22,11,2022,53,L,976,9,6,30000
1154,25,12,2024,65,P,638,6,8,20000
5219,11,2,2023,37,L,652,19,8,30000
7235,14,4,2024,56,P,461,9,3,20000
1070,19,9,2024,54,L,580,6,2,10000
3358,25,12,2022,44,P,567,1,5,40000
7012,10,8,2024,62,P,688,14,5,50000
1160,11,8,2024,54,L,362,8,11,20000
7561,13,4,2023,38,L,165,20,13,50000
1200,6,7,2022,79,P,89,3,13,50000
122,17,7,2024,61,L,998,10,12,10000
6963,7,8,2023,72,P,52,8,9,10000
898,22,4,2023,43,L,305,15,6,50000
109,19,12,2023,36,L,722,3,5,20000
1776,28,5,2023,33,L,331,9,11,30000
9157,13,11,2022,30,L,184,1,9,30000
9985,20,4,2024,46,P,8,17,13,40000
3735,10,11,2022,71,P,291,2,1,30000
7756,8,11,2024,49,P,724,14,14,10000
8099,6,4,2024,69,L,609,13,2,10000
8343,12,2,2022,48,L,308,16,1,30000
9591,12,3,2024,63,L,956,10,8,40000
1753,11,8,2022,40,P,980,16,11,40000
8217,10,9,2022,37,L,925,18,3,40000
9903,24,1,2023,47,L,150,19,2,10000
9789,12,7,2023,45,L,78,11,11,50000
473,17,7,2024,33,P,974,8,7,30000
9106,26,5,2024,51,L,993,10,1,20000
3909,4,6,2022,28,L,322,13,10,50000
4623,25,4,2024,30,P,475,13,5,50000
2057,22,9,2023,59,L,674,20,12,10000
